EVA_NR;DS100;IFOPT;NAME;VERKEHR;LAENGE;BREITE;STATUS
8003560;MLAW;de:09772:4200;Langweid(Lech);RV;10,8479660;48,4904470;
8003562;RLAC;de:08337:6578;Lauchringen West;RV;8,30810200;47,6327750;
8003563;HLAT;de:03454:8132;Lathen;nur DPN;7,32257400;52,8607490;
8003567;NLDF;de:09573:5039;Laubendorf;RV;10,7526960;49,4943650;
8003568;SLAU;de:07133:8184;Laubenheim(Nahe);RV;7,89721500;49,9187990;
8003569;TLH;de:08136:4817;Lauchheim;RV;10,2365630;48,8688850;
8003571;RLCH;de:08226:1825;Laudenbach(Bergstr);RV;8,64453900;49,6120760;
8003572;TLC;de:08128:13250;Laudenbach(Württ);RV;9,92310000;49,4554210;
8003573;NLK;de:09676:99308;Laudenbach am Main;RV;9,17912600;49,7425280;
8003576;ALUB;de:03357:53790;Lauenbrück;nur DPN;9,56371000;53,1970300;
8003577;ALAU;de:01053:8003577;Lauenburg(Elbe);RV;10,5675860;53,3695550;
8003578;HLFO;de:03255:53845;Lauenförde-Beverungen;nur DPN;9,39266700;51,6584700;
8003580;NLL;de:09574:7000;Lauf(links Pegnitz);RV;11,2859760;49,5070970;
8003581;NLR;de:09574:7050;Lauf(rechts Pegnitz);RV;11,2778320;49,5125520;
8003582;NLA;de:09671:2058;Laufach;RV;9,27769200;50,0106700;
8003584;MLF;de:09172:42314;Laufen(Oberbay);RV;12,9223630;47,9336530;
8003585;RLFG;de:08337:6643;Laufenburg(Baden);RV;8,05831200;47,5634080;
8003586;RLBO;de:08337:6571;Laufenburg(Baden)Ost;RV;8,07369100;47,5661630;
8003587;NLLW;de:09574:7040;Lauf West;RV;11,2776290;49,5006590;
8003588;TLN;de:08125:1438;Lauffen(Neckar);RV;9,14613600;49,0765140;
8003589;MLIG;de:09773:5200;Lauingen;nur DPN;10,4249660;48,5745660;
8003591;TLM;de:08426:6350;Laupheim Stadt;RV;9,87839400;48,2333040;
8003592;TLW;de:08426:6321;Laupheim West;RV;9,84785400;48,2300080;
8003593;FLBG;de:07141:11096;Laurenburg(Lahn);RV;7,90576600;50,3295520;
8003594;RLBA;de:08317:14211;Lautenbach(Baden);nur DPN;8,11606700;48,5194830;
8003605;FLW;de:06433:6801;Riedstadt-Wolfskehlen;RV;8,49309800;49,8539370;
8003608;ELGD;de:05554:17491;Legden;RV;7,08850500;52,0349330;
8003609;RLT;de:08317:12475;Legelshurst;nur DPN;7,91354900;48,5585500;
8003611;SLE;;Lehmen;RV;7,45523000;50,2847460;
8003612;FLEH;de:06531:11184;Lehnheim;nur DPN;8,99209400;50,6067690;
8003616;KLEL;de:05378:33101;Leichlingen;nur DPN;7,00525100;51,1075210;
8003617;HLFG;de:03151:997;Leiferde(b Gifhorn);nur DPN;10,4279370;52,4564530;
8003621;ELEI;de:05970:10568;Leimstruth;RV;8,31278900;50,9906580;
8003622;TLF;de:08116:175;Leinfelden;RV;9,14286600;48,6965060;
8003623;TLG;de:08125:7401;Leingarten;RV;9,12196700;49,1450320;
